Player,Season,Team,Award
Michael Cooper,1983-84,1st,All-Defensive
Bobby Jones,1983-84,1st,All-Defensive
Sidney Moncrief,1983-84,1st,All-Defensive
Tree Rollins,1983-84,1st,All-Defensive
Bobby Jones,1982-83,1st,All-Defensive
Moses Malone,1982-83,1st,All-Defensive
Sidney Moncrief,1982-83,1st,All-Defensive
Dan Roundfield,1982-83,1st,All-Defensive
Maurice Cheeks,1982-83,1st,All-Defensive
Michael Cooper,1981-82,1st,All-Defensive
Dennis Johnson,1981-82,1st,All-Defensive
Bobby Jones,1981-82,1st,All-Defensive
Caldwell Jones,1981-82,1st,All-Defensive
Dan Roundfield,1981-82,1st,All-Defensive
Kareem Abdul-Jabbar,1980-81,1st,All-Defensive
Dennis Johnson,1980-81,1st,All-Defensive
Bobby Jones,1980-81,1st,All-Defensive
Caldwell Jones,1980-81,1st,All-Defensive
Michael Ray Richardson,1980-81,1st,All-Defensive
Kareem Abdul-Jabbar,1979-80,1st,All-Defensive
Dennis Johnson,1979-80,1st,All-Defensive
Bobby Jones,1979-80,1st,All-Defensive
Dan Roundfield,1979-80,1st,All-Defensive
Don Buse,1979-80,1st,All-Defensive
Kareem Abdul-Jabbar,1978-79,1st,All-Defensive
Don Buse,1978-79,1st,All-Defensive
Bob Dandridge,1978-79,1st,All-Defensive
Dennis Johnson,1978-79,1st,All-Defensive
Bobby Jones,1978-79,1st,All-Defensive
Don Buse,1977-78,1st,All-Defensive
Lionel Hollins,1977-78,1st,All-Defensive
Bobby Jones,1977-78,1st,All-Defensive
Maurice Lucas,1977-78,1st,All-Defensive
Bill Walton,1977-78,1st,All-Defensive
Don Buse,1976-77,1st,All-Defensive
E.C. Coleman,1976-77,1st,All-Defensive
Bobby Jones,1976-77,1st,All-Defensive
Norm Van Lier,1976-77,1st,All-Defensive
Bill Walton,1976-77,1st,All-Defensive
Dave Cowens,1975-76,1st,All-Defensive
John Havlicek,1975-76,1st,All-Defensive
Paul Silas,1975-76,1st,All-Defensive
Norm Van Lier,1975-76,1st,All-Defensive
Slick Watts,1975-76,1st,All-Defensive
Don Buse,1975-76,1st,All-Defensive
Julius Erving,1975-76,1st,All-Defensive
Artis Gilmore,1975-76,1st,All-Defensive
Bobby Jones,1975-76,1st,All-Defensive
Brian Taylor,1975-76,1st,All-Defensive
Kareem Abdul-Jabbar,1974-75,1st,All-Defensive
Walt Frazier,1974-75,1st,All-Defensive
John Havlicek,1974-75,1st,All-Defensive
Paul Silas,1974-75,1st,All-Defensive
Jerry Sloan,1974-75,1st,All-Defensive
Don Buse,1974-75,1st,All-Defensive
Artis Gilmore,1974-75,1st,All-Defensive
Bobby Jones,1974-75,1st,All-Defensive
Wil Jones,1974-75,1st,All-Defensive
Brian Taylor,1974-75,1st,All-Defensive
Kareem Abdul-Jabbar,1973-74,1st,All-Defensive
Dave DeBusschere,1973-74,1st,All-Defensive
John Havlicek,1973-74,1st,All-Defensive
Norm Van Lier,1973-74,1st,All-Defensive
Walt Frazier,1973-74,1st,All-Defensive
Artis Gilmore,1973-74,1st,All-Defensive
Julius Keye,1973-74,1st,All-Defensive
Ted McClain,1973-74,1st,All-Defensive
Willie Wise,1973-74,1st,All-Defensive
Mike Gale,1973-74,1st,All-Defensive
Wilt Chamberlain,1972-73,1st,All-Defensive
Dave DeBusschere,1972-73,1st,All-Defensive
Walt Frazier,1972-73,1st,All-Defensive
John Havlicek,1972-73,1st,All-Defensive
Jerry West,1972-73,1st,All-Defensive
Mike Gale,1972-73,1st,All-Defensive
Artis Gilmore,1972-73,1st,All-Defensive
Fatty Taylor,1972-73,1st,All-Defensive
Willie Wise,1972-73,1st,All-Defensive
Joe Caldwell,1972-73,1st,All-Defensive
Wilt Chamberlain,1971-72,1st,All-Defensive
Dave DeBusschere,1971-72,1st,All-Defensive
John Havlicek,1971-72,1st,All-Defensive
Jerry West,1971-72,1st,All-Defensive
Walt Frazier,1971-72,1st,All-Defensive
Dave DeBusschere,1970-71,1st,All-Defensive
Walt Frazier,1970-71,1st,All-Defensive
Gus Johnson,1970-71,1st,All-Defensive
Nate Thurmond,1970-71,1st,All-Defensive
Jerry West,1970-71,1st,All-Defensive
Dave DeBusschere,1969-70,1st,All-Defensive
Walt Frazier,1969-70,1st,All-Defensive
Gus Johnson,1969-70,1st,All-Defensive
Willis Reed,1969-70,1st,All-Defensive
Jerry West,1969-70,1st,All-Defensive
Dave DeBusschere,1968-69,1st,All-Defensive
Walt Frazier,1968-69,1st,All-Defensive
Bill Russell,1968-69,1st,All-Defensive
Jerry Sloan,1968-69,1st,All-Defensive
Nate Thurmond,1968-69,1st,All-Defensive
