"full_name","From","To","Pos","Ht","Wt","Birth Date","Colleges","player_id"
"Mikal Bridges",2019,2026,"F-G","6-6",209,"August 30 1996","Villanova","bridgmi01"
"Miles Bridges",2019,2026,"G-F","6-7",225,"March 21 1998","Michigan State","bridgmi02"
"Oshae Brissett",2020,2025,"F","6-7",210,"June 20 1998","Syracuse","brissos01"
"Malcolm Brogdon",2017,2025,"G","6-4",229,"December 11 1992","Virginia","brogdma01"
"Dillon Brooks",2018,2026,"F-G","6-7",225,"January 22 1996","Oregon","brookdi01"
"Keion Brooks Jr.",2025,2025,"F","6-7",210,"August 7 2000","Kentucky Washington","brookke02"
"Johni Broome",2026,2026,"F-C","6-10",235,"July 19 2002","Morehead State University Auburn","broomjo01"
"Bruce Brown",2019,2026,"G-F","6-4",202,"August 15 1996","Miami (FL)","brownbr01"
"Darius Brown II",2026,2026,"G","6-2",192,"July 28 1999","Cal State Northridge Montana State Utah State University","brownda04"
"Jaylen Brown",2017,2026,"F-G","6-6",223,"October 24 1996","California","brownja02"
"Kobe Brown",2024,2026,"G-F","6-7",250,"January 1 2000","Missouri","brownko01"
"Moses Brown",2020,2025,"C","7-2",258,"October 13 1999","UCLA","brownmo01"
"Jalen Brunson",2019,2026,"G","6-2",190,"August 31 1996","Villanova","brunsja01"
"Carter Bryant",2026,2026,"G-F","6-6",220,"November 26 2005","Arizona","bryanca01"
"Thomas Bryant",2018,2026,"C","6-9",248,"July 31 1997","Indiana","bryanth01"
"Kobe Bufkin",2024,2026,"G","6-4",195,"September 21 2003","Michigan","bufkiko01"
"Alec Burks",2012,2025,"G","6-5",214,"July 20 1991","Colorado","burksal01"
"Tyler Burton",2026,2026,"F","6-7",215,"February 11 2000","Richmond Villanova","burtoty01"
"Jared Butler",2022,2025,"G","6-3",193,"August 25 2000","Baylor","butleja02"
"Jimmy Butler",2012,2026,"F-G","6-6",230,"September 14 1989","Tyler Junior College Marquette","butleji01"
"Matas Buzelis",2025,2026,"F","6-8",209,"October 13 2004","","buzelma01"
"Jamal Cain",2023,2026,"F","6-7",191,"March 20 1999","Marquette Oakland","cainja01"
"Kentavious Caldwell-Pope",2014,2026,"G","6-5",204,"February 18 1993","Georgia","caldwke01"
"Toumani Camara",2024,2026,"F","6-7",230,"May 8 2000","Georgia Dayton","camarto01"
"Vlatko \u010can\u010dar",2020,2025,"F","6-8",236,"April 10 1997","","cancavl01"
"Clint Capela",2015,2026,"C","6-10",256,"May 18 1994","","capelca01"
"Dylan Cardwell",2026,2026,"C","6-10",255,"December 16 2001","Auburn","cardwdy01"
"Branden Carlson",2025,2026,"C","7-0",220,"June 14 1999","Utah","carlsbr01"
"Bub Carrington",2025,2026,"G","6-4",190,"July 21 2005","Pitt","carrica01"
"Devin Carter",2025,2026,"G","6-2",195,"March 18 2002","South Carolina Providence","cartede02"
"Jevon Carter",2019,2026,"G","6-0",200,"September 14 1995","West Virginia","carteje01"
"Wendell Carter Jr.",2019,2026,"C","6-10",270,"April 16 1999","Duke","cartewe01"
"D.J. Carton",2024,2025,"G","6-2",200,"August 5 2000","Ohio State Marquette","cartodj01"
"Alex Caruso",2018,2026,"G","6-5",186,"February 28 1994","Texas A&M","carusal01"
"Stephon Castle",2025,2026,"G","6-6",215,"November 1 2004","UConn","castlst01"
"Colin Castleton",2024,2026,"F","6-10",250,"May 25 2000","Michigan Florida","castlco01"
"Julian Champagnie",2023,2026,"F","6-7",217,"June 29 2001","St. John's","champju02"
"Justin Champagnie",2022,2026,"F","6-6",206,"June 29 2001","Pitt","champju01"
"Kennedy Chandler",2023,2026,"G","6-0",170,"September 16 2002","Tennessee","chandke01"
"Ulrich Chomche",2025,2025,"F-C","6-11",235,"December 30 2005","","chomcul01"
"Cam Christie",2025,2026,"G","6-5",190,"July 24 2005","Minnesota","chrisca02"
"Max Christie",2023,2026,"G","6-5",190,"February 10 2003","Michigan State","chrisma02"
"Josh Christopher",2022,2025,"G","6-4",215,"December 8 2001","Arizona State","chrisjo01"
"Moussa Cisse",2026,2026,"C","6-11",220,"September 10 2002","Oklahoma State Ole Miss Memphis","cissemo01"
"Sidy Cissoko",2024,2026,"G","6-6",220,"April 2 2004","","cissosi01"
"Jaylen Clark",2025,2026,"G","6-5",205,"October 13 2001","UCLA","clarkja02"
"Brandon Clarke",2020,2026,"F","6-8",215,"September 19 1996","San Jose State Gonzaga","clarkbr01"
"Jordan Clarkson",2015,2026,"G","6-5",194,"June 7 1992","Tulsa Missouri","clarkjo01"
"Nic Claxton",2020,2026,"C","6-11",215,"April 17 1999","Georgia","claxtni01"
"Walter Clayton",2026,2026,"G","6-4",195,"March 6 2003","Iona College Florida","claytwa01"
"Nique Clifford",2026,2026,"G","6-5",175,"February 9 2002","Colorado Colorado State","cliffni01"
"Donovan Clingan",2025,2026,"C","7-2",280,"February 23 2004","UConn","clingdo01"
"Noah Clowney",2024,2026,"F","6-10",210,"July 14 2004","Alabama","clownno01"
"Amir Coffey",2020,2026,"G","6-7",210,"June 17 1997","Minnesota","coffeam01"
"Isaiah Collier",2025,2026,"G","6-4",210,"October 8 2004","USC","colliis01"
"John Collins",2018,2026,"F","6-9",226,"September 23 1997","Wake Forest","collijo01"
"Yuri Collins",2025,2025,"G","6-0",190,"March 7 2001","Saint Louis","colliyu01"
"Zach Collins",2018,2026,"C-F","6-9",250,"November 19 1997","Gonzaga","colliza01"
"Mike Conley",2008,2026,"G","6-1",175,"October 11 1987","Ohio State","conlemi01"
"Pat Connaughton",2016,2026,"G","6-5",209,"January 6 1993","Notre Dame","connapa01"
"Javonte Cooke",2026,2026,"G","6-6",185,"July 11 1999","University of South Carolina Aiken Mars Hill University Winston-Salem State","cookeja01"
"Sharife Cooper",2022,2026,"G","6-0",176,"June 11 2001","Auburn","coopesh01"
"Bilal Coulibaly",2024,2026,"F","6-7",195,"July 26 2004","","coulibi01"
"Ricky Council IV",2024,2025,"G","6-6",207,"August 3 2001","Wichita State Arkansas","councri01"
"Cedric Coward",2026,2026,"F-G","6-5",206,"September 11 2003","Willamette University Eastern Washington Washington State","cowarce01"
"Torrey Craig",2018,2025,"G-F","6-5",221,"December 19 1990","USC Upstate","craigto01"
"Isaiah Crawford",2025,2026,"F","6-6",220,"November 1 2001","Louisiana Tech","crawfis01"
"Jae Crowder",2013,2025,"F","6-6",235,"July 6 1990","Marquette","crowdja01"
"LJ Cryer",2026,2026,"G","6-1",202,"October 9 2001","Baylor Houston","cryerlj01"
"Cui Yongxi",2025,2025,"G","6-5",190,"May 28 2003","","cuiyo01"
"Cade Cunningham",2022,2026,"G","6-6",220,"September 25 2001","Oklahoma State","cunnica01"
"Seth Curry",2014,2026,"G","6-1",185,"August 23 1990","Liberty Duke","curryse01"
"Stephen Curry",2010,2026,"G","6-2",185,"March 14 1988","Davidson","curryst01"
"Tristan Da Silva",2025,2026,"F","6-8",217,"May 15 2001","Colorado","dasiltr01"
"Pac\u00f4me Dadiet",2025,2026,"F","6-9",210,"July 27 2005","","dadiepa01"
"Dyson Daniels",2023,2026,"G","6-7",199,"March 17 2003","","daniedy01"
"N'Faly Dante",2025,2026,"C","6-11",230,"October 19 2001","Oregon","nfalyda01"
"Anthony Davis",2013,2026,"F-C","6-10",253,"March 11 1993","Kentucky","davisan02"
"Johnny Davis",2023,2025,"G","6-4",195,"February 27 2002","Wisconsin","davisjo06"
"Terence Davis",2020,2025,"G","6-4",201,"May 16 1997","Ole Miss","daviste02"
"JD Davison",2023,2026,"G","6-1",195,"October 3 2002","Alabama","davisjd01"
"DeMar DeRozan",2010,2026,"G-F","6-6",220,"August 7 1989","USC","derozde01"
"RayJ Dennis",2025,2026,"G","6-1",180,"March 30 2001","Boise State Toledo Baylor","dennira01"
"Donte DiVincenzo",2019,2026,"G","6-4",203,"January 31 1997","Villanova","divindo01"
"Moussa Diabat\u00e9",2023,2026,"F","6-10",210,"January 21 2002","Michigan","diabamo01"
"Mohamed Diawara",2026,2026,"F-C","6-9",225,"April 29 2005","","diawamo01"
"Gradey Dick",2024,2026,"G","6-7",200,"November 20 2003","Kansas","dickgr01"
"Hunter Dickinson",2026,2026,"C","7-1",255,"November 25 2000","Michigan Kansas","dickihu01"
"Ousmane Dieng",2023,2026,"F","6-9",185,"May 21 2003","","diengou01"
"Rob Dillingham",2025,2026,"G","6-2",175,"January 4 2005","Kentucky","dilliro01"
"Spencer Dinwiddie",2015,2025,"G","6-5",215,"April 6 1993","Colorado","dinwisp01"
"Egor D\u0451min",2026,2026,"G","6-8",200,"March 3 2006","BYU","demineg01"
"Luka Don\u010di\u0107",2019,2026,"G-F","6-8",230,"February 28 1999","","doncilu01"
"Luguentz Dort",2020,2026,"G","6-4",220,"April 19 1999","Arizona State","dortlu01"
"Ayo Dosunmu",2022,2026,"G","6-4",200,"January 17 2000","Illinois","dosunay01"
"Jeff Dowtin Jr.",2022,2025,"G","6-3",177,"May 10 1997","Rhode Island","dowtije01"
"PJ Dozier",2018,2025,"G","6-6",212,"October 25 1996","South Carolina","doziepj01"
"Andre Drummond",2013,2026,"C","6-11",279,"August 10 1993","UConn","drumman01"
"Chris Duarte",2022,2025,"G","6-5",190,"June 13 1997","Oregon","duartch01"
"Alex Ducas",2025,2025,"G-F","6-7",220,"December 11 2000","Saint Mary's","ducasal01"
"David Duke Jr.",2022,2025,"G","6-4",204,"October 13 1999","Providence","dukeda01"
"Kris Dunn",2017,2026,"G","6-3",205,"March 18 1994","Providence","dunnkr01"
"Ryan Dunn",2025,2026,"F","6-7",216,"January 7 2003","Virginia","dunnry01"
"Kevin Durant",2008,2026,"F-G","6-11",240,"September 29 1988","Texas","duranke01"
"Jalen Duren",2023,2026,"C","6-10",250,"November 18 2003","Memphis","durenja01"
"Tari Eason",2023,2026,"F","6-8",215,"May 10 2001","Cincinnati LSU","easonta01"
"Zach Edey",2025,2026,"C","7-3",305,"May 14 2002","Purdue","edeyza01"
"VJ Edgecombe",2026,2026,"G-F","6-4",180,"July 30 2005","Baylor","edgecvj01"
"Anthony Edwards",2021,2026,"G-F","6-4",225,"August 5 2001","Georgia","edwaran01"
"Jesse Edwards",2025,2025,"C","7-0",236,"March 18 2000","West Virginia Syracuse","edwarje01"
"Justin Edwards",2025,2026,"G","6-7",203,"December 16 2003","Kentucky","edwarju01"
"Kessler Edwards",2022,2025,"F","6-8",203,"August 9 2000","Pepperdine","edwarke02"
"Keon Ellis",2023,2026,"G","6-4",175,"January 8 2000","Florida SouthWestern State College Alabama","elliske01"
"Joel Embiid",2017,2026,"C","7-0",280,"March 16 1994","Kansas","embiijo01"
"Tristan Enaruna",2026,2026,"F","6-7",220,"June 26 2001","Kansas Iowa State Cleveland State University","enarutr01"
"Noa Essengue",2026,2026,"F","6-8",200,"December 18 2006","","essenno01"
"Tyson Etienne",2025,2026,"G","6-0",200,"September 17 1999","Wichita State","etienty01"
"Drew Eubanks",2019,2026,"F","6-10",245,"February 1 1997","Oregon State","eubandr01"
"Tosan Evbuomwan",2024,2026,"F","6-8",217,"February 16 2001","Princeton","evbuoto01"
"Dant\u00e9 Exum",2015,2025,"G","6-5",214,"July 13 1995","","exumda01"
"Jeremiah Fears",2026,2026,"G","6-3",190,"October 14 2006","Oklahoma","fearsje01"
"Bruno Fernando",2020,2025,"F","6-9",240,"August 15 1998","Maryland","fernabr01"
"Kyle Filipowski",2025,2026,"F-C","6-11",250,"November 7 2003","Duke","filipky01"
"Dorian Finney-Smith",2017,2026,"F","6-7",220,"May 4 1993","Florida","finnedo01"
"Cooper Flagg",2026,2026,"F-G","6-9",205,"December 21 2006","Duke","flaggco01"
"Adam Flagler",2024,2025,"G","6-1",180,"December 1 1999","Presbyterian College Baylor","flaglad01"
"Rasheer Fleming",2026,2026,"F","6-9",240,"July 10 2004","Saint Joseph's","flemira01"
"Trentyn Flowers",2025,2026,"G-F","6-9",185,"March 8 2005","","flowetr01"
"Malachi Flynn",2021,2025,"G","6-1",185,"May 10 1998","Washington State San Diego State","flynnma01"
"Simone Fontecchio",2023,2026,"F","6-7",209,"December 9 1995","","fontesi01"
"De'Aaron Fox",2018,2026,"G","6-3",185,"December 20 1997","Kentucky","foxde01"
"Enrique Freeman",2025,2026,"F","6-9",220,"July 29 2000","University of Akron","freemen01"
"Markelle Fultz",2018,2026,"G","6-4",209,"May 29 1998","Washington","fultzma01"
"Johnny Furphy",2025,2026,"G-F","6-8",200,"December 8 2004","Kansas","furphjo01"
"Daniel Gafford",2020,2026,"C-F","6-10",265,"October 1 1998","Arkansas","gaffoda01"
"Andersson Garcia",2026,2026,"G","6-7",220,"August 23 2000","Mississippi State Texas A&M","garcian01"
"Myron Gardner",2026,2026,"G","6-5",220,"May 21 2001","South Plains College Georgetown Little Rock","gardnmy01"
"Darius Garland",2020,2026,"G","6-1",192,"January 26 2000","Vanderbilt","garlada01"
"Marcus Garrett",2022,2025,"G","6-5",205,"November 9 1998","Kansas","garrema01"
"Luka Garza",2022,2026,"F-C","6-10",243,"December 27 1998","Iowa","garzalu01"
"Keyonte George",2024,2026,"G","6-4",185,"November 8 2003","Baylor","georgke01"
"Kyshawn George",2025,2026,"G","6-8",200,"December 12 2003","Miami (FL)","georgky01"
"Paul George",2011,2026,"F-G","6-8",220,"May 2 1990","Fresno State","georgpa01"
"Taj Gibson",2010,2026,"F-C","6-9",232,"June 24 1985","USC","gibsota01"
"Josh Giddey",2022,2026,"G","6-7",216,"October 10 2002","","giddejo01"
"Keshon Gilbert",2026,2026,"G","6-4",200,"June 30 2003","UNLV Iowa State","gilbeke01"
"Shai Gilgeous-Alexander",2019,2026,"G","6-6",195,"July 12 1998","Kentucky","gilgesh01"
"Anthony Gill",2021,2026,"F","6-7",230,"October 17 1992","South Carolina Virginia","gillan01"
"Collin Gillespie",2024,2026,"G","6-1",195,"June 25 1999","Villanova","gilleco01"
"Rudy Gobert",2014,2026,"C","7-1",258,"June 26 1992","","goberru01"
"Vladislav Goldin",2026,2026,"F-C","7-0",250,"May 12 2001","Texas Tech Florida Atlantic University Michigan","goldivl01"
"Hugo Gonz\u00e1lez",2026,2026,"G-F","6-6",200,"February 5 2006","","gonzahu01"
"Jordan Goodwin",2022,2026,"G","6-3",215,"October 23 1998","Saint Louis","goodwjo01"
"Aaron Gordon",2015,2026,"F","6-8",235,"September 16 1995","Arizona","gordoaa01"
"Eric Gordon",2009,2026,"G-F","6-3",215,"December 25 1988","Indiana","gordoer01"
"Jazian Gortman",2025,2025,"G","6-2",184,"April 14 2003","","gortmja01"
"Jerami Grant",2015,2026,"F","6-7",213,"March 12 1994","Syracuse","grantje01"
"Hayden Gray",2026,2026,"G","6-4",190,"May 11 2003","UC San Diego","grayha01"
"A.J. Green",2023,2026,"G","6-4",190,"September 27 1999","University of Northern Iowa","greenaj01"
"Draymond Green",2013,2026,"F","6-6",230,"March 4 1990","Michigan State","greendr01"
"Jalen Green",2022,2026,"G","6-4",186,"February 9 2002","","greenja05"
"Javonte Green",2020,2026,"F","6-5",205,"July 23 1993","Radford","greenja02"
"Jeff Green",2008,2026,"F","6-8",235,"August 28 1986","Georgetown","greenje02"
"Josh Green",2021,2026,"G-F","6-6",200,"November 16 2000","Arizona","greenjo02"
"Quentin Grimes",2022,2026,"G-F","6-4",210,"May 8 2000","Kansas Houston","grimequ01"
"Mouhamadou Gueye",2024,2026,"F","6-9",210,"July 6 1998","Monroe Community College Stony Brook University Pitt","gueyemo01"
"Mouhamed Gueye",2024,2026,"F","6-11",210,"November 9 2002","Washington State","gueyemo02"
"Rui Hachimura",2020,2026,"F","6-8",230,"February 8 1998","Gonzaga","hachiru01"
"Tyrese Haliburton",2021,2025,"G","6-5",185,"February 29 2000","Iowa State","halibty01"
"PJ Hall",2025,2026,"F","6-8",245,"February 21 2002","Clemson","hallpj01"
"Yang Hansen",2026,2026,"C","7-1",270,"June 26 2005","","yangha01"
"Tim Hardaway Jr.",2014,2026,"G","6-5",205,"March 16 1992","Michigan","hardati02"
"James Harden",2010,2026,"G","6-5",220,"August 26 1989","Arizona State","hardeja01"
"Jaden Hardy",2023,2026,"G","6-3",198,"July 5 2002","","hardyja02"
"Elijah Harkless",2025,2026,"G","6-3",195,"February 3 2000","Cal State Northridge Oklahoma UNLV","harklej01"
"Dylan Harper",2026,2026,"G","6-5",215,"March 2 2006","Rutgers University","harpedy01"
"Ron Harper Jr.",2023,2026,"G-F","6-5",233,"April 12 2000","Rutgers University","harpero02"
"Gary Harris",2015,2026,"G","6-4",210,"September 14 1994","Michigan State","harriga01"
"Tobias Harris",2012,2026,"F","6-8",226,"July 15 1992","Tennessee","harrito02"
"Josh Hart",2018,2026,"F-G","6-5",215,"March 6 1995","Villanova","hartjo01"
"Isaiah Hartenstein",2019,2026,"C-F","7-0",250,"May 5 1998","","harteis01"
"Sam Hauser",2022,2026,"F","6-7",217,"December 8 1997","Marquette Virginia","hausesa01"
"Jordan Hawkins",2024,2026,"G","6-5",190,"April 29 2002","UConn","hawkijo01"
"Jaxson Hayes",2020,2026,"F","7-0",220,"May 23 2000","Texas","hayesja02"
"Killian Hayes",2021,2026,"G","6-4",195,"July 27 2001","","hayeski01"
"Nigel Hayes-Davis",2018,2026,"F","6-7",254,"December 16 1994","Wisconsin","hayesni01"
"Scoot Henderson",2024,2026,"G","6-3",207,"February 3 2004","","hendesc01"
"Taylor Hendricks",2024,2026,"F","6-9",215,"November 22 2003","Central Florida","hendrta01"
"Chucky Hepburn",2026,2026,"G","6-0",190,"February 9 2003","Wisconsin Louisville","hepbuch01"
"Tyler Herro",2020,2026,"G","6-5",195,"January 20 2000","Kentucky","herroty01"
"Buddy Hield",2017,2026,"G-F","6-4",220,"December 17 1992","Oklahoma","hieldbu01"
"Haywood Highsmith",2019,2026,"F","6-5",220,"December 9 1996","Wheeling University","highsha01"
"Blake Hinson",2026,2026,"F","6-8",240,"December 26 1999","Ole Miss Iowa State Pitt","hinsobl01"
"Aaron Holiday",2019,2026,"G","6-0",185,"September 30 1996","UCLA","holidaa01"
"Jrue Holiday",2010,2026,"G","6-4",220,"June 12 1990","UCLA","holidjr01"
"Ron Holland",2025,2026,"F","6-8",206,"July 7 2005","","hollaro01"
"DaRon Holmes",2026,2026,"F","6-9",225,"August 15 2002","Dayton","holmeda01"
"Richaun Holmes",2016,2025,"C-F","6-9",235,"October 15 1993","Bowling Green","holmeri01"
"Chet Holmgren",2024,2026,"F-C","7-1",208,"May 1 2002","Gonzaga","holmgch01"
"Jalen Hood-Schifino",2024,2025,"G","6-5",210,"June 19 2003","Indiana","hoodsja01"
"Al Horford",2008,2026,"C-F","6-8",240,"June 3 1986","Florida","horfoal01"
"Talen Horton-Tucker",2020,2025,"G-F","6-4",234,"November 25 2000","Iowa State","hortota01"
"Caleb Houstan",2023,2026,"G-F","6-8",205,"January 9 2003","Michigan","houstca01"
"Jett Howard",2024,2026,"G","6-8",215,"September 14 2003","Michigan","howarje01"
"Kevin Huerter",2019,2026,"G","6-6",198,"August 27 1998","Maryland","huertke01"
"Jay Huff",2022,2026,"C-F","7-1",240,"August 25 1998","Virginia","huffja01"
"Ariel Hukporti",2025,2026,"C","7-0",246,"April 12 2002","","hukpoar01"
"De'Andre Hunter",2020,2026,"F","6-7",221,"December 2 1997","Virginia","huntede01"
"CJ Huntley",2026,2026,"F","6-9",190,"January 6 2002","Appalachian State University","huntlcj01"
"Bones Hyland",2022,2026,"G","6-2",169,"September 14 2000","VCU","hylanbo01"
"Oso Ighodaro",2025,2026,"F","6-11",235,"July 14 2002","Marquette","ighodos01"
"Joe Ingles",2015,2026,"F-G","6-8",220,"October 2 1987","","inglejo01"
"Brandon Ingram",2017,2026,"F","6-8",190,"September 2 1997","Duke","ingrabr01"
"Harrison Ingram",2025,2026,"F","6-5",230,"November 27 2002","Stanford UNC","ingraha01"
"Kyrie Irving",2012,2025,"G","6-2",195,"March 23 1992","Duke","irvinky01"
"Jonathan Isaac",2018,2026,"F","6-10",230,"October 3 1997","Florida State","isaacjo01"
"Jaden Ivey",2023,2026,"G","6-3",195,"February 13 2002","Purdue","iveyja01"
"Andre Jackson Jr.",2024,2026,"G","6-6",209,"November 13 2001","UConn","jacksan01"
"GG Jackson II",2024,2026,"F","6-9",210,"December 17 2004","South Carolina","jacksgg01"
"Isaiah Jackson",2022,2026,"C-F","6-8",205,"January 10 2002","Kentucky","jacksis01"
"Jaren Jackson Jr.",2019,2026,"F","6-10",242,"September 15 1999","Michigan State","jacksja02"
"Quenton Jackson",2023,2026,"G","6-4",173,"September 15 1998","Texas A&M","jacksqu01"
"Reggie Jackson",2012,2025,"G","6-2",208,"April 16 1990","Boston College","jacksre01"
"Trayce Jackson-Davis",2024,2026,"F","6-9",245,"February 22 2000","Indiana","jackstr02"
"Kasparas Jaku\u010dionis",2026,2026,"G","6-5",200,"May 29 2006","Illinois","jakucka01"
"Bronny James",2025,2026,"G","6-2",210,"October 6 2004","USC","jamesbr02"
"LeBron James",2004,2026,"F-G","6-9",250,"December 30 1984","","jamesle01"
"Sion James",2026,2026,"G","6-5",220,"December 4 2002","Tulane Duke","jamessi01"
"Jaime Jaquez Jr.",2024,2026,"G-F","6-6",225,"February 18 2001","UCLA","jaqueja01"
"DeJon Jarreau",2022,2026,"G","6-5",185,"January 23 1998","UMass Houston","jarrede01"
"DaQuan Jeffries",2020,2026,"G-F","6-5",222,"August 30 1997","Oral Roberts Tulsa","jeffrda01"
"Trey Jemison",2024,2026,"C","6-10",270,"November 28 1999","Clemson UAB","jemistr01"
"Daniss Jenkins",2025,2026,"G","6-4",165,"August 17 2001","University of the Pacific Odessa College Iona College St. John's","jenkida01"
"Ty Jerome",2020,2026,"G","6-5",195,"July 8 1997","Virginia","jeromty01"
"Isaiah Joe",2021,2026,"G","6-4",165,"July 2 1999","Arkansas","joeis01"
"AJ Johnson",2025,2026,"G","6-5",160,"December 1 2004","","johnsaj01"
"Cameron Johnson",2020,2026,"F","6-8",210,"March 3 1996","Pitt UNC","johnsca02"
"Chaney Johnson",2026,2026,"G","6-7",220,"June 20 2002","Auburn","johnsch06"
